J       CT       CP       eta
0.093   0.1054   0.0459   0.212
0.109   0.1044   0.0461   0.248
0.131   0.1035   0.0466   0.291
0.152   0.1022   0.0469   0.331
0.177   0.1007   0.0473   0.377
0.198   0.0992   0.0475   0.413
0.220   0.0979   0.0478   0.450
0.243   0.0959   0.0479   0.486
0.266   0.0940   0.0481   0.519
0.287   0.0922   0.0482   0.549
0.309   0.0897   0.0480   0.577
0.329   0.0878   0.0481   0.600
0.350   0.0857   0.0481   0.623
0.372   0.0833   0.0481   0.644
0.394   0.0807   0.0479   0.663
0.415   0.0777   0.0476   0.677
0.435   0.0741   0.0469   0.688
0.459   0.0685   0.0451   0.697
0.478   0.0637   0.0434   0.703
0.501   0.0570   0.0404   0.706
0.524   0.0508   0.0375   0.709
0.543   0.0463   0.0353   0.712
0.566   0.0417   0.0330   0.716
0.589   0.0373   0.0307   0.715
0.608   0.0339   0.0289   0.715
0.638   0.0283   0.0259   0.697
0.655   0.0253   0.0243   0.682
0.678   0.0210   0.0219   0.649
0.701   0.0171   0.0197   0.609
0.723   0.0134   0.0174   0.555
0.745   0.0090   0.0147   0.459
0.767   0.0049   0.0118   0.317
0.788   0.0011   0.0092   0.091
0.812   -0.0037   0.0061   -0.501
