xflr5 v6.44

Plane name :        Plane Name - 2208 - Wing Section Relocated - Dihedral
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.328741   0.003893   0.025679   0.029572   0.000022   0.000003   0.150282  -0.000010  -0.000010   20.0000    -0.3011
   -4.500     0.000  -0.281529   0.002910   0.020006   0.022916   0.000022   0.000003   0.138650  -0.000010  -0.000010   20.0000    -0.2943
   -4.000     0.000  -0.234268   0.002073   0.017484   0.019557   0.000022   0.000003   0.126856  -0.000010  -0.000010   20.0000    -0.2849
   -3.500     0.000  -0.186966   0.001383   0.016553   0.017936   0.000021   0.000003   0.114913  -0.000010  -0.000010   20.0000    -0.2708
   -3.000     0.000  -0.139630   0.000842   0.015695   0.016536   0.000021   0.000003   0.102823  -0.000010  -0.000010   20.0000    -0.2471
   -2.500     0.000  -0.092267   0.000448   0.014835   0.015284   0.000021   0.000003   0.090584  -0.000010  -0.000010   20.0000    -0.1992
   -2.000     0.000  -0.044885   0.000204   0.014027   0.014231   0.000021   0.000002   0.078202  -0.000010  -0.000010   20.0000    -0.0503
   -1.500     0.000   0.002509   0.000108   0.013319   0.013427   0.000021   0.000002   0.065686  -0.000009  -0.000009   20.0000    -5.5290
   -1.000     0.000   0.049906   0.000161   0.011469   0.011630   0.000021   0.000002   0.053025  -0.000009  -0.000009   20.0000    -0.6011
   -0.500     0.000   0.097301   0.000364   0.009918   0.010282   0.000021   0.000002   0.040226  -0.000009  -0.000009   20.0000    -0.4740
    0.000     0.000   0.144684   0.000716   0.009659   0.010375   0.000021   0.000002   0.027321  -0.000009  -0.000009   20.0000    -0.4302
    0.500     0.000   0.192049   0.001217   0.009499   0.010716   0.000021   0.000002   0.014290  -0.000009  -0.000009   20.0000    -0.4080
    1.000     0.000   0.239388   0.001867   0.009435   0.011302   0.000020   0.000002   0.001222  -0.000009  -0.000009   20.0000    -0.3946
    1.500     0.000   0.286693   0.002665   0.009443   0.012108   0.000020   0.000002  -0.011970  -0.000009  -0.000009   20.0000    -0.3857
    2.000     0.000   0.333958   0.003611   0.009554   0.013165   0.000020   0.000002  -0.025267  -0.000009  -0.000009   20.0000    -0.3793
    2.500     0.000   0.381174   0.004704   0.009775   0.014479   0.000020   0.000002  -0.038667  -0.000008  -0.000009   20.0000    -0.3745
    3.000     0.000   0.428334   0.005943   0.010119   0.016062   0.000020   0.000001  -0.052157  -0.000008  -0.000008   20.0000    -0.3708
    3.500     0.000   0.475431   0.007328   0.010579   0.017908   0.000020   0.000001  -0.065729  -0.000008  -0.000008   20.0000    -0.3678
    4.000     0.000   0.522457   0.008858   0.011115   0.019973   0.000020   0.000001  -0.079385  -0.000008  -0.000008   20.0000    -0.3654
    4.500     0.000   0.569406   0.010531   0.011648   0.022179   0.000019   0.000001  -0.093121  -0.000008  -0.000008   20.0000    -0.3635
    5.000     0.000   0.616268   0.012347   0.012141   0.024488   0.000019   0.000001  -0.106931  -0.000008  -0.000008   20.0000    -0.3618
    5.500     0.000   0.663038   0.014304   0.012615   0.026918   0.000019   0.000001  -0.120808  -0.000008  -0.000008   20.0000    -0.3604
    6.000     0.000   0.709709   0.016400   0.013088   0.029489   0.000019   0.000001  -0.134743  -0.000008  -0.000008   20.0000    -0.3592
    6.500     0.000   0.756271   0.018635   0.013568   0.032203   0.000019   0.000001  -0.148730  -0.000007  -0.000007   20.0000    -0.3582
    7.000     0.000   0.802720   0.021006   0.014037   0.035044   0.000019   0.000001  -0.162769  -0.000007  -0.000007   20.0000    -0.3574
    7.500     0.000   0.849047   0.023513   0.014495   0.038007   0.000019   0.000001  -0.176856  -0.000007  -0.000007   20.0000    -0.3566
    8.000     0.000   0.895246   0.026152   0.014988   0.041140   0.000018   0.000001  -0.190985  -0.000007  -0.000007   20.0000    -0.3560
    8.500     0.000   0.941308   0.028922   0.015868   0.044791   0.000018   0.000001  -0.205136  -0.000007  -0.000007   20.0000    -0.3554
    9.000     0.000   0.987229   0.031822   0.017865   0.049687   0.000018   0.000001  -0.219268  -0.000007  -0.000007   20.0000    -0.3549
    9.500     0.000   1.033000   0.034849   0.019992   0.054841   0.000018   0.000001  -0.233441  -0.000007  -0.000007   20.0000    -0.3545
   10.000     0.000   1.078614   0.038000   0.023165   0.061165   0.000018   0.000000  -0.247587  -0.000007  -0.000007   20.0000    -0.3542


