xflr5 v6.44

Plane name :        Plane Name - 2512
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.269821   0.003246   0.013662   0.016908   0.000017   0.000002   0.064809  -0.000004  -0.000004   20.0000     0.1073
   -4.500     0.000  -0.225485   0.002344   0.013244   0.015588   0.000017   0.000002   0.053110  -0.000004  -0.000004   20.0000     0.1059
   -4.000     0.000  -0.181104   0.001597   0.012853   0.014451   0.000016   0.000002   0.041370  -0.000004  -0.000004   20.0000     0.1038
   -3.500     0.000  -0.136688   0.001008   0.012473   0.013481   0.000016   0.000002   0.029581  -0.000004  -0.000004   20.0000     0.1003
   -3.000     0.000  -0.092242   0.000575   0.012100   0.012675   0.000016   0.000002   0.017743  -0.000004  -0.000004   20.0000     0.0936
   -2.500     0.000  -0.047775   0.000300   0.011724   0.012024   0.000016   0.000002   0.005861  -0.000004  -0.000004   20.0000     0.0742
   -2.000     0.000  -0.003294   0.000183   0.011364   0.011547   0.000016   0.000002  -0.006062  -0.000004  -0.000004   20.0000    -0.4683
   -1.500     0.000   0.041194   0.000225   0.011018   0.011242   0.000016   0.000002  -0.018022  -0.000004  -0.000004   20.0000     0.1609
   -1.000     0.000   0.085680   0.000424   0.010683   0.011107   0.000016   0.000002  -0.030019  -0.000004  -0.000004   20.0000     0.1367
   -0.500     0.000   0.130158   0.000782   0.010350   0.011132   0.000016   0.000002  -0.042046  -0.000003  -0.000004   20.0000     0.1291
    0.000     0.000   0.174619   0.001298   0.010031   0.011330   0.000016   0.000002  -0.054101  -0.000003  -0.000003   20.0000     0.1253
    0.500     0.000   0.219057   0.001972   0.009760   0.011732   0.000016   0.000001  -0.066179  -0.000003  -0.000003   20.0000     0.1231
    1.000     0.000   0.263463   0.002804   0.009614   0.012418   0.000016   0.000001  -0.078283  -0.000003  -0.000003   20.0000     0.1216
    1.500     0.000   0.307831   0.003793   0.009594   0.013387   0.000016   0.000001  -0.090380  -0.000003  -0.000003   20.0000     0.1206
    2.000     0.000   0.352153   0.004937   0.009616   0.014554   0.000016   0.000001  -0.102498  -0.000003  -0.000003   20.0000     0.1198
    2.500     0.000   0.396420   0.006238   0.009652   0.015890   0.000016   0.000001  -0.114624  -0.000003  -0.000003   20.0000     0.1192
    3.000     0.000   0.440627   0.007694   0.009690   0.017383   0.000015   0.000001  -0.126755  -0.000003  -0.000003   20.0000     0.1188
    3.500     0.000   0.484765   0.009303   0.009760   0.019063   0.000015   0.000001  -0.138889  -0.000003  -0.000003   20.0000     0.1184
    4.000     0.000   0.528827   0.011065   0.009874   0.020939   0.000015   0.000001  -0.151023  -0.000003  -0.000003   20.0000     0.1181
    4.500     0.000   0.572805   0.012979   0.010039   0.023017   0.000015   0.000001  -0.163151  -0.000003  -0.000003   20.0000     0.1179
    5.000     0.000   0.616693   0.015042   0.010251   0.025293   0.000015   0.000001  -0.175270  -0.000003  -0.000003   20.0000     0.1177
    5.500     0.000   0.660483   0.017255   0.010514   0.027768   0.000015   0.000001  -0.187377  -0.000003  -0.000003   20.0000     0.1175
    6.000     0.000   0.704168   0.019615   0.010831   0.030446   0.000015   0.000001  -0.199467  -0.000003  -0.000003   20.0000     0.1174
    6.500     0.000   0.747741   0.022120   0.011219   0.033339   0.000015   0.000001  -0.211532  -0.000003  -0.000003   20.0000     0.1172
    7.000     0.000   0.791194   0.024769   0.011689   0.036458   0.000015   0.000001  -0.223570  -0.000003  -0.000003   20.0000     0.1172
    7.500     0.000   0.834520   0.027560   0.012277   0.039837   0.000015   0.000001  -0.235573  -0.000003  -0.000003   20.0000     0.1171
    8.000     0.000   0.877712   0.030491   0.013004   0.043495   0.000014   0.000001  -0.247545  -0.000003  -0.000003   20.0000     0.1170
    8.500     0.000   0.920764   0.033560   0.013899   0.047458   0.000014   0.000001  -0.259482  -0.000003  -0.000003   20.0000     0.1170
    9.000     0.000   0.963669   0.036764   0.014934   0.051698   0.000014   0.000001  -0.271380  -0.000003  -0.000003   20.0000     0.1170
    9.500     0.000   1.006419   0.040101   0.016084   0.056185   0.000014   0.000001  -0.283230  -0.000003  -0.000003   20.0000     0.1170
   10.000     0.000   1.049008   0.043570   0.017368   0.060937   0.000014   0.000001  -0.295030  -0.000003  -0.000003   20.0000     0.1170


