xflr5 v6.44

Plane name :        Plane Name - 2208 - Wing Section Relocated - Dihedral - ClimbFlapsDeployed
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.329674   0.003986   0.025340   0.029326   0.000190   0.000897   0.169217   0.000016  -0.000008   20.0000    -0.2891
   -4.500     0.000  -0.282428   0.002995   0.020068   0.023063   0.000190   0.000899   0.156284   0.000004  -0.000008   20.0000    -0.2816
   -4.000     0.000  -0.235134   0.002149   0.017568   0.019716   0.000191   0.000900   0.143348  -0.000003  -0.000008   20.0000    -0.2711
   -3.500     0.000  -0.187798   0.001450   0.016660   0.018110   0.000191   0.000901   0.130290  -0.000004  -0.000008   20.0000    -0.2553
   -3.000     0.000  -0.140427   0.000899   0.015801   0.016700   0.000191   0.000903   0.116973  -0.000005  -0.000007   20.0000    -0.2290
   -2.500     0.000  -0.093030   0.000496   0.014944   0.015439   0.000191   0.000904   0.103406  -0.000005  -0.000007   20.0000    -0.1758
   -2.000     0.000  -0.045614   0.000241   0.014143   0.014383   0.000192   0.000905   0.089604  -0.000005  -0.000007   20.0000    -0.0122
   -1.500     0.000   0.001815   0.000134   0.013434   0.013569   0.000192   0.000907   0.075567  -0.000005  -0.000007   20.0000    -8.3998
   -1.000     0.000   0.049247   0.000177   0.011550   0.011727   0.000192   0.000908   0.061129  -0.000002  -0.000007   20.0000    -0.6303
   -0.500     0.000   0.096676   0.000369   0.010085   0.010454   0.000192   0.000909   0.046463  -0.000014  -0.000007   20.0000    -0.4845
    0.000     0.000   0.144095   0.000709   0.009873   0.010582   0.000192   0.000910   0.031786  -0.000005  -0.000007   20.0000    -0.4347
    0.500     0.000   0.191495   0.001198   0.009682   0.010881   0.000192   0.000910   0.016883  -0.000004  -0.000007   20.0000    -0.4095
    1.000     0.000   0.238870   0.001836   0.009599   0.011434   0.000192   0.000911   0.001841  -0.000004  -0.000007   20.0000    -0.3944
    1.500     0.000   0.286211   0.002621   0.009586   0.012207   0.000192   0.000912  -0.013422  -0.000005  -0.000007   20.0000    -0.3843
    2.000     0.000   0.333511   0.003554   0.009693   0.013247   0.000192   0.000913  -0.028872  -0.000006  -0.000007   20.0000    -0.3770
    2.500     0.000   0.380764   0.004634   0.009911   0.014546   0.000192   0.000913  -0.044507  -0.000005  -0.000007   20.0000    -0.3716
    3.000     0.000   0.427960   0.005860   0.010255   0.016115   0.000192   0.000914  -0.060318  -0.000004  -0.000007   20.0000    -0.3674
    3.500     0.000   0.475094   0.007232   0.010717   0.017949   0.000192   0.000914  -0.076299  -0.000004  -0.000006   20.0000    -0.3641
    4.000     0.000   0.522157   0.008748   0.011254   0.020002   0.000192   0.000915  -0.092446  -0.000005  -0.000006   20.0000    -0.3614
    4.500     0.000   0.569142   0.010407   0.011793   0.022200   0.000191   0.000915  -0.108765  -0.000005  -0.000006   20.0000    -0.3592
    5.000     0.000   0.616043   0.012208   0.012286   0.024494   0.000191   0.000915  -0.125256  -0.000005  -0.000006   20.0000    -0.3573
    5.500     0.000   0.662850   0.014150   0.012759   0.026910   0.000191   0.000916  -0.141915  -0.000005  -0.000006   20.0000    -0.3557
    6.000     0.000   0.709558   0.016232   0.013228   0.029460   0.000191   0.000916  -0.158731  -0.000004  -0.000006   20.0000    -0.3544
    6.500     0.000   0.756159   0.018452   0.013703   0.032155   0.000190   0.000916  -0.175698  -0.000004  -0.000006   20.0000    -0.3532
    7.000     0.000   0.802646   0.020808   0.014162   0.034969   0.000190   0.000916  -0.192816  -0.000004  -0.000006   20.0000    -0.3522
    7.500     0.000   0.849012   0.023299   0.014601   0.037900   0.000190   0.000916  -0.210083  -0.000004  -0.000006   20.0000    -0.3513
    8.000     0.000   0.895250   0.025922   0.015062   0.040984   0.000189   0.000916  -0.227494  -0.000005  -0.000006   20.0000    -0.3506
    8.500     0.000   0.941352   0.028677   0.015860   0.044537   0.000189   0.000915  -0.245024  -0.000005  -0.000006   20.0000    -0.3499
    9.000     0.000   0.987311   0.031560   0.017815   0.049375   0.000188   0.000915  -0.262556  -0.000007  -0.000006   20.0000    -0.3494
    9.500     0.000   1.033122   0.034570   0.019961   0.054531   0.000188   0.000915  -0.280148  -0.000008  -0.000005   20.0000    -0.3489
   10.000     0.000   1.078777   0.037705   0.023037   0.060742   0.000188   0.000914  -0.297778  -0.000008  -0.000005   20.0000    -0.3485


