xflr5 v6.44

Plane name :        Plane Name - 2208 - Wing Section Relocated - Dihedral - LongPlane
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.331461   0.004032   0.025724   0.029756   0.000011  -0.000050   0.214003  -0.000061  -0.000012   20.0000     0.1951
   -4.500     0.000  -0.283961   0.003023   0.020176   0.023200   0.000010  -0.000050   0.193289   0.000002  -0.000011   20.0000     0.2015
   -4.000     0.000  -0.236411   0.002163   0.017604   0.019767   0.000010  -0.000050   0.172717  -0.000012  -0.000011   20.0000     0.2105
   -3.500     0.000  -0.188819   0.001453   0.016681   0.018134   0.000010  -0.000050   0.152068  -0.000012  -0.000011   20.0000     0.2241
   -3.000     0.000  -0.141193   0.000894   0.015816   0.016710   0.000010  -0.000050   0.131117  -0.000012  -0.000011   20.0000     0.2468
   -2.500     0.000  -0.093539   0.000485   0.014953   0.015439   0.000010  -0.000050   0.109869  -0.000012  -0.000011   20.0000     0.2927
   -2.000     0.000  -0.045865   0.000228   0.014148   0.014376   0.000010  -0.000050   0.088346  -0.000012  -0.000011   20.0000     0.4342
   -1.500     0.000   0.001820   0.000123   0.013436   0.013559   0.000010  -0.000050   0.066552  -0.000012  -0.000011   20.0000    -6.8373
   -1.000     0.000   0.049510   0.000169   0.011557   0.011727   0.000010  -0.000050   0.044268  -0.000012  -0.000011   20.0000    -0.1005
   -0.500     0.000   0.097196   0.000368   0.010016   0.010383   0.000010  -0.000051   0.021715  -0.000011  -0.000010   20.0000     0.0257
    0.000     0.000   0.144871   0.000718   0.009777   0.010495   0.000009  -0.000051  -0.000818  -0.000011  -0.000010   20.0000     0.0688
    0.500     0.000   0.192528   0.001220   0.009620   0.010840   0.000009  -0.000051  -0.023589  -0.000011  -0.000010   20.0000     0.0906
    1.000     0.000   0.240159   0.001873   0.009556   0.011429   0.000009  -0.000051  -0.046525  -0.000010  -0.000010   20.0000     0.1037
    1.500     0.000   0.287756   0.002678   0.009555   0.012233   0.000009  -0.000051  -0.069715  -0.000010  -0.000010   20.0000     0.1125
    2.000     0.000   0.335312   0.003633   0.009665   0.013297   0.000009  -0.000051  -0.093118  -0.000010  -0.000010   20.0000     0.1188
    2.500     0.000   0.382819   0.004737   0.009887   0.014625   0.000009  -0.000051  -0.116730  -0.000009  -0.000010   20.0000     0.1235
    3.000     0.000   0.430269   0.005991   0.010232   0.016224   0.000009  -0.000051  -0.140540  -0.000009  -0.000009   20.0000     0.1272
    3.500     0.000   0.477656   0.007393   0.010695   0.018088   0.000009  -0.000051  -0.164539  -0.000009  -0.000009   20.0000     0.1302
    4.000     0.000   0.524971   0.008943   0.011229   0.020171   0.000009  -0.000051  -0.188724  -0.000008  -0.000009   20.0000     0.1327
    4.500     0.000   0.572208   0.010639   0.011771   0.022409   0.000008  -0.000051  -0.213094  -0.000008  -0.000009   20.0000     0.1347
    5.000     0.000   0.619358   0.012479   0.012267   0.024747   0.000008  -0.000051  -0.237654  -0.000008  -0.000009   20.0000     0.1365
    5.500     0.000   0.666414   0.014464   0.012744   0.027208   0.000008  -0.000051  -0.262393  -0.000008  -0.000009   20.0000     0.1380
    6.000     0.000   0.713370   0.016591   0.013221   0.029812   0.000008  -0.000051  -0.287297  -0.000008  -0.000009   20.0000     0.1393
    6.500     0.000   0.760217   0.018858   0.013705   0.032563   0.000008  -0.000051  -0.312354  -0.000008  -0.000008   20.0000     0.1405
    7.000     0.000   0.806948   0.021265   0.014173   0.035437   0.000008  -0.000051  -0.337565  -0.000008  -0.000008   20.0000     0.1415
    7.500     0.000   0.853557   0.023809   0.014623   0.038432   0.000008  -0.000051  -0.362924  -0.000008  -0.000008   20.0000     0.1425
    8.000     0.000   0.900035   0.026488   0.015096   0.041584   0.000007  -0.000051  -0.388422  -0.000007  -0.000008   20.0000     0.1433
    8.500     0.000   0.946377   0.029301   0.015934   0.045235   0.000007  -0.000050  -0.414026  -0.000007  -0.000008   20.0000     0.1441
    9.000     0.000   0.992574   0.032246   0.017875   0.050121   0.000007  -0.000050  -0.439624  -0.000006  -0.000008   20.0000     0.1448
    9.500     0.000   1.038620   0.035320   0.020035   0.055355   0.000007  -0.000050  -0.465268  -0.000006  -0.000007   20.0000     0.1455
   10.000     0.000   1.084509   0.038521   0.023163   0.061684   0.000007  -0.000050  -0.490936  -0.000005  -0.000007   20.0000     0.1461


