xflr5 v6.44

Plane name :        Plane Name - 2208 - Wing Section Relocated - Dihedral - LongPlane - FINAL
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.378724   0.004153   0.032789   0.036942   0.000032   0.000005   0.497586  -0.000014  -0.000014   20.0000     0.2474
   -4.500     0.000  -0.325569   0.003163   0.025724   0.028887   0.000032   0.000005   0.452513  -0.000014  -0.000014   20.0000     0.2574
   -4.000     0.000  -0.272362   0.002313   0.022475   0.024788   0.000032   0.000004   0.407794  -0.000014  -0.000014   20.0000     0.2712
   -3.500     0.000  -0.219110   0.001602   0.019932   0.021534   0.000031   0.000004   0.362678  -0.000014  -0.000014   20.0000     0.2919
   -3.000     0.000  -0.165823   0.001031   0.018732   0.019763   0.000031   0.000004   0.317308  -0.000014  -0.000014   20.0000     0.3258
   -2.500     0.000  -0.112506   0.000602   0.017789   0.018391   0.000031   0.000004   0.271403  -0.000014  -0.000014   20.0000     0.3919
   -2.000     0.000  -0.059169   0.000314   0.016550   0.016863   0.000031   0.000004   0.224859  -0.000013  -0.000014   20.0000     0.5772
   -1.500     0.000  -0.005818   0.000167   0.014484   0.014652   0.000031   0.000004   0.177529  -0.000013  -0.000013   20.0000     4.1619
   -1.000     0.000   0.047538   0.000162   0.012893   0.013055   0.000031   0.000004   0.129790  -0.000013  -0.000013   20.0000    -0.3002
   -0.500     0.000   0.100892   0.000300   0.012749   0.013048   0.000030   0.000003   0.081972  -0.000013  -0.000013   20.0000    -0.0429
    0.000     0.000   0.154235   0.000579   0.012640   0.013218   0.000030   0.000003   0.033686  -0.000013  -0.000013   20.0000     0.0364
    0.500     0.000   0.207561   0.000999   0.012506   0.013505   0.000030   0.000003  -0.015071  -0.000013  -0.000013   20.0000     0.0749
    1.000     0.000   0.260861   0.001562   0.012393   0.013954   0.000030   0.000003  -0.064225  -0.000012  -0.000013   20.0000     0.0977
    1.500     0.000   0.314128   0.002265   0.012285   0.014550   0.000030   0.000003  -0.113840  -0.000012  -0.000012   20.0000     0.1128
    2.000     0.000   0.367353   0.003109   0.012258   0.015367   0.000029   0.000003  -0.163871  -0.000012  -0.000012   20.0000     0.1235
    2.500     0.000   0.420530   0.004094   0.012377   0.016470   0.000029   0.000003  -0.214283  -0.000012  -0.000012   20.0000     0.1315
    3.000     0.000   0.473650   0.005217   0.012679   0.017897   0.000029   0.000002  -0.265052  -0.000012  -0.000012   20.0000     0.1377
    3.500     0.000   0.526705   0.006480   0.013197   0.019676   0.000029   0.000002  -0.316139  -0.000012  -0.000012   20.0000     0.1427
    4.000     0.000   0.579689   0.007880   0.013853   0.021733   0.000029   0.000002  -0.367542  -0.000011  -0.000011   20.0000     0.1467
    4.500     0.000   0.632593   0.009417   0.014528   0.023945   0.000028   0.000002  -0.419272  -0.000011  -0.000011   20.0000     0.1501
    5.000     0.000   0.685409   0.011090   0.015184   0.026273   0.000028   0.000002  -0.471321  -0.000011  -0.000011   20.0000     0.1530
    5.500     0.000   0.738131   0.012897   0.015858   0.028755   0.000028   0.000002  -0.523660  -0.000011  -0.000011   20.0000     0.1555
    6.000     0.000   0.790751   0.014837   0.016540   0.031377   0.000028   0.000002  -0.576268  -0.000011  -0.000011   20.0000     0.1577
    6.500     0.000   0.843260   0.016910   0.017191   0.034101   0.000028   0.000002  -0.629149  -0.000010  -0.000011   20.0000     0.1595
    7.000     0.000   0.895652   0.019112   0.017827   0.036940   0.000027   0.000002  -0.682288  -0.000010  -0.000010   20.0000     0.1612
    7.500     0.000   0.947920   0.021443   0.018436   0.039879   0.000027   0.000001  -0.735680  -0.000010  -0.000010   20.0000     0.1627
    8.000     0.000   1.000055   0.023902   0.019400   0.043302   0.000027   0.000001  -0.789254  -0.000010  -0.000010   20.0000     0.1641
    8.500     0.000   1.052051   0.026485   0.021950   0.048435   0.000027   0.000001  -0.842733  -0.000010  -0.000010   20.0000     0.1653
    9.000     0.000   1.103900   0.029192   0.025200   0.054392   0.000026   0.000001  -0.896205  -0.000010  -0.000010   20.0000     0.1665
    9.500     0.000   1.155595   0.032020   0.028658   0.060678   0.000026   0.000001  -0.949878  -0.000009  -0.000009   20.0000     0.1675


