xflr5 v6.44

Plane name :        Plane - 2208 Airfoil
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.149747   0.000930   0.016902   0.017832   0.000023   0.000003   0.161130  -0.000006  -0.000006   20.0000     0.1705
   -2.500     0.000  -0.100239   0.000518   0.015856   0.016374   0.000023   0.000002   0.122476  -0.000006  -0.000006   20.0000     0.1956
   -2.000     0.000  -0.050712   0.000254   0.014982   0.015236   0.000022   0.000002   0.083709  -0.000006  -0.000006   20.0000     0.2697
   -1.500     0.000  -0.001172   0.000137   0.014065   0.014203   0.000022   0.000002   0.044849  -0.000006  -0.000006   20.0000     6.6155
   -1.000     0.000   0.048373   0.000168   0.011677   0.011846   0.000022   0.000002   0.006038  -0.000006  -0.000006   20.0000    -0.0377
   -0.500     0.000   0.097915   0.000347   0.010732   0.011079   0.000022   0.000002  -0.032969  -0.000006  -0.000006   20.0000     0.0419
    0.000     0.000   0.147446   0.000674   0.010569   0.011242   0.000022   0.000002  -0.072102  -0.000006  -0.000006   20.0000     0.0681
    0.500     0.000   0.196958   0.001147   0.010421   0.011568   0.000022   0.000002  -0.111310  -0.000005  -0.000006   20.0000     0.0811
    1.000     0.000   0.246445   0.001769   0.010340   0.012109   0.000022   0.000002  -0.150469  -0.000005  -0.000005   20.0000     0.0888
    1.500     0.000   0.295899   0.002537   0.010301   0.012838   0.000022   0.000002  -0.189685  -0.000005  -0.000005   20.0000     0.0940
    2.000     0.000   0.345311   0.003451   0.010379   0.013830   0.000021   0.000002  -0.228926  -0.000005  -0.000005   20.0000     0.0977
    2.500     0.000   0.394674   0.004511   0.010583   0.015094   0.000021   0.000002  -0.268187  -0.000005  -0.000005   20.0000     0.1005
    3.000     0.000   0.443981   0.005717   0.010933   0.016649   0.000021   0.000002  -0.307458  -0.000005  -0.000005   20.0000     0.1027
    3.500     0.000   0.493225   0.007066   0.011417   0.018484   0.000021   0.000002  -0.346727  -0.000005  -0.000005   20.0000     0.1044
    4.000     0.000   0.542396   0.008559   0.011997   0.020556   0.000021   0.000002  -0.385971  -0.000005  -0.000005   20.0000     0.1058
    4.500     0.000   0.591489   0.010194   0.012570   0.022764   0.000021   0.000002  -0.425172  -0.000005  -0.000005   20.0000     0.1070
    5.000     0.000   0.640496   0.011970   0.013120   0.025090   0.000021   0.000001  -0.464312  -0.000005  -0.000005   20.0000     0.1081
    5.500     0.000   0.689409   0.013886   0.013646   0.027532   0.000020   0.000001  -0.503369  -0.000005  -0.000005   20.0000     0.1089
    6.000     0.000   0.738221   0.015940   0.014176   0.030116   0.000020   0.000001  -0.542330  -0.000005  -0.000005   20.0000     0.1097
    6.500     0.000   0.786924   0.018132   0.014691   0.032823   0.000020   0.000001  -0.581170  -0.000004  -0.000005   20.0000     0.1104
    7.000     0.000   0.835511   0.020459   0.015186   0.035645   0.000020   0.000001  -0.619882  -0.000004  -0.000004   20.0000     0.1110
    7.500     0.000   0.883976   0.022919   0.015678   0.038597   0.000020   0.000001  -0.658459  -0.000004  -0.000004   20.0000     0.1116
    8.000     0.000   0.932310   0.025511   0.016165   0.041676   0.000020   0.000001  -0.696891  -0.000004  -0.000004   20.0000     0.1121
    8.500     0.000   0.980506   0.028234   0.017787   0.046021   0.000019   0.000001  -0.735309  -0.000004  -0.000004   20.0000     0.1125
    9.000     0.000   1.028558   0.031084   0.020162   0.051246   0.000019   0.000001  -0.773674  -0.000004  -0.000004   20.0000     0.1130
    9.500     0.000   1.076458   0.034061   0.022830   0.056890   0.000019   0.000001  -0.811929  -0.000004  -0.000004   20.0000     0.1134
   10.000     0.000   1.124200   0.037161   0.027045   0.064205   0.000019   0.000001  -0.850288  -0.000004  -0.000004   20.0000     0.1137


