xflr5 v6.44

Plane name :        Plane Name - 2512
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.110433   0.000699   0.014779   0.015477   0.000023   0.000003   0.128107  -0.000006  -0.000006   20.0000     0.1855
   -2.500     0.000  -0.060926   0.000395   0.014405   0.014800   0.000023   0.000002   0.089410  -0.000006  -0.000006   20.0000     0.2390
   -2.000     0.000  -0.011403   0.000239   0.013994   0.014233   0.000022   0.000002   0.050619  -0.000006  -0.000006   20.0000     0.7566
   -1.500     0.000   0.038126   0.000230   0.013579   0.013809   0.000022   0.000002   0.011738  -0.000006  -0.000006   20.0000    -0.0707
   -1.000     0.000   0.087655   0.000369   0.013137   0.013506   0.000022   0.000002  -0.027222  -0.000006  -0.000006   20.0000     0.0369
   -0.500     0.000   0.137177   0.000656   0.012680   0.013336   0.000022   0.000002  -0.066249  -0.000006  -0.000006   20.0000     0.0668
    0.000     0.000   0.186682   0.001090   0.012299   0.013389   0.000022   0.000002  -0.105332  -0.000006  -0.000006   20.0000     0.0809
    0.500     0.000   0.236165   0.001671   0.012077   0.013749   0.000022   0.000002  -0.144491  -0.000005  -0.000006   20.0000     0.0890
    1.000     0.000   0.285617   0.002400   0.012016   0.014416   0.000022   0.000002  -0.183621  -0.000005  -0.000005   20.0000     0.0944
    1.500     0.000   0.335031   0.003275   0.011962   0.015237   0.000022   0.000002  -0.222785  -0.000005  -0.000005   20.0000     0.0981
    2.000     0.000   0.384398   0.004295   0.011916   0.016211   0.000022   0.000002  -0.261954  -0.000005  -0.000005   20.0000     0.1009
    2.500     0.000   0.433712   0.005462   0.011873   0.017334   0.000021   0.000002  -0.301122  -0.000005  -0.000005   20.0000     0.1031
    3.000     0.000   0.482965   0.006772   0.011866   0.018638   0.000021   0.000002  -0.340278  -0.000005  -0.000005   20.0000     0.1049
    3.500     0.000   0.532149   0.008227   0.011921   0.020148   0.000021   0.000002  -0.379416  -0.000005  -0.000005   20.0000     0.1063
    4.000     0.000   0.581258   0.009824   0.012039   0.021863   0.000021   0.000002  -0.418517  -0.000005  -0.000005   20.0000     0.1075
    4.500     0.000   0.630282   0.011563   0.012213   0.023776   0.000021   0.000002  -0.457571  -0.000005  -0.000005   20.0000     0.1085
    5.000     0.000   0.679215   0.013442   0.012446   0.025888   0.000021   0.000001  -0.496568  -0.000005  -0.000005   20.0000     0.1093
    5.500     0.000   0.728050   0.015460   0.012750   0.028210   0.000021   0.000001  -0.535490  -0.000005  -0.000005   20.0000     0.1101
    6.000     0.000   0.776779   0.017615   0.013142   0.030758   0.000020   0.000001  -0.574318  -0.000005  -0.000005   20.0000     0.1108
    6.500     0.000   0.825395   0.019907   0.013651   0.033559   0.000020   0.000001  -0.613038  -0.000005  -0.000005   20.0000     0.1114
    7.000     0.000   0.873891   0.022333   0.014306   0.036640   0.000020   0.000001  -0.651648  -0.000004  -0.000004   20.0000     0.1119
    7.500     0.000   0.922259   0.024892   0.015179   0.040072   0.000020   0.000001  -0.690149  -0.000004  -0.000004   20.0000     0.1124
    8.000     0.000   0.970491   0.027582   0.016358   0.043940   0.000020   0.000001  -0.728544  -0.000004  -0.000004   20.0000     0.1129
    8.500     0.000   1.018582   0.030401   0.017911   0.048312   0.000020   0.000001  -0.766818  -0.000004  -0.000004   20.0000     0.1133
    9.000     0.000   1.066524   0.033347   0.019694   0.053041   0.000019   0.000001  -0.804948  -0.000004  -0.000004   20.0000     0.1137
    9.500     0.000   1.114310   0.036417   0.021812   0.058229   0.000019   0.000001  -0.842953  -0.000004  -0.000004   20.0000     0.1140
   10.000     0.000   1.161932   0.039610   0.024287   0.063897   0.000019   0.000001  -0.880864  -0.000004  -0.000004   20.0000     0.1144


